code,month,december,Yreli,Yprev,Eprev,Ereli,board,easting,northing,dispensing,perc_white,price_med,pm10,pm25,urban
21435,Oct-15,0,97,26,21.61042848,91.15107082,FIFE,318.547,693.681,N,99.9022483,83500,13.91342963,7.914184232,urban
21440,Oct-15,0,65,15,14.46168867,60.99825411,FIFE,318.547,693.681,N,99.9022483,83500,13.91342963,7.914184232,urban
21454,Oct-15,0,99,23,40.00635758,168.7436386,FIFE,329.823,701.645,N,100,90000,13.63237908,7.608519524,urban
21505,Oct-15,0,230,44,42.33482348,178.5649228,FIFE,336.164,699.749,N,99.127182,68500,12.98712967,7.25036969,urban
21558,Oct-15,0,93,12,25.9929508,109.6362019,FIFE,323.454,718.309,N,98.3314794,96000,12.89403859,7.216438461,rural
21609,Oct-15,0,263,63,66.32445391,279.7512785,FIFE,342.399,727.696,N,99.0610329,161000,14.59332543,8.075544405,smalltown
21651,Oct-15,0,183,32,24.72306995,104.2799453,FIFE,302.563,689.174,N,98.8235294,102500,13.58901626,7.617069812,smalltown
21666,Oct-15,0,106,17,24.9419049,105.2029737,FIFE,302.563,689.174,N,98.8235294,102500,13.58901626,7.617069812,smalltown
21736,Oct-15,0,130,29,35.10966188,148.0897651,FIFE,354.842,702.626,N,99.1438356,149600,12.74286733,7.063241889,smalltown
21755,Oct-15,0,158,14,57.61613215,243.020269,FIFE,310.915,684.54,N,98.6046512,89250,14.80809057,8.370490218,urban
21760,Oct-15,0,152,28,36.05190987,152.0640923,FIFE,311.771,683.939,N,99.1638796,84250,14.76211325,8.332209523,urban
21825,Oct-15,0,78,15,44.99582881,189.7888319,FIFE,350.277,715.304,N,95.1066499,171000,14.77213764,8.244472222,urban
25012,Oct-15,0,248,47,56.70094065,239.160064,FORTH VALLEY,289.195,693.83,N,98.8965517,67000,13.85530374,7.836891838,urban
25027,Oct-15,0,292,87,59.54600372,251.160314,FORTH VALLEY,289.195,693.83,N,98.8965517,67000,13.85530374,7.836891838,urban
25031,Oct-15,0,180,29,46.44047623,195.88224,FORTH VALLEY,289.195,693.83,N,98.8965517,67000,13.85530374,7.836891838,urban
25046,Oct-15,0,303,67,81.62552049,344.289962,FORTH VALLEY,288.064,696.937,N,98.7598647,125000,14.0938609,7.929476375,smalltown
25051,Oct-15,0,53,15,19.02444696,80.24360617,FORTH VALLEY,254.674,688.606,N,99.3048659,178000,11.85469043,6.551534331,rural
25065,Oct-15,0,50,9,16.68308599,70.36793156,FORTH VALLEY,256.242,679.198,N,98.9690722,134639,12.01940552,6.620604618,rural
25070,Oct-15,0,111,38,27.47168551,115.8733874,FORTH VALLEY,299.49,681.076,N,98.3918129,81000,13.10427854,7.308488216,urban
25084,Oct-15,0,168,58,55.51805274,234.1707367,FORTH VALLEY,299.49,681.076,N,98.3918129,81000,13.10427854,7.308488216,urban
25099,Oct-15,0,87,22,20.64527255,87.08011979,FORTH VALLEY,300.259,680.707,N,99.8432602,87500,13.9902979,7.786020321,urban
25101,Oct-15,0,84,31,45.77661835,193.0821402,FORTH VALLEY,279.106,697.31,N,90.0259067,222155,13.12646567,7.345620998,urban
25116,Oct-15,0,69,16,14.11618609,59.54095167,FORTH VALLEY,263.775,707.239,N,98.5040276,161250,11.4627355,6.219323956,smalltown
25121,Oct-15,0,52,15,16.09240457,67.87648426,FORTH VALLEY,263.775,707.239,N,98.5040276,161250,11.4627355,6.219323956,smalltown
25135,Oct-15,0,154,44,38.63086515,162.9419208,FORTH VALLEY,291.191,691.887,N,98.9664083,78250,14.12317989,8.027841015,smalltown
25169,Oct-15,0,131,24,37.85289882,159.6605206,FORTH VALLEY,283.414,691.796,N,99.5412844,89100,13.81595385,7.8467314,rural
25173,Oct-15,0,116,50,33.98632006,143.3515985,FORTH VALLEY,281.121,682.748,N,98.1981982,76250,13.32297807,7.459632177,urban
25188,Oct-15,0,302,72,57.2647562,241.5381932,FORTH VALLEY,281.182,682.965,N,97.7099237,76250,13.32297807,7.459632177,urban
25192,Oct-15,0,125,31,30.49511451,128.6259708,FORTH VALLEY,282.023,680.663,N,98.7279843,79800,13.53977967,7.605854522,urban
25205,Oct-15,0,171,42,54.78339679,231.0720162,FORTH VALLEY,282.023,680.663,N,98.7279843,79800,13.53977967,7.605854522,urban
25210,Oct-15,0,110,32,33.03759502,139.3499517,FORTH VALLEY,296.378,697.881,N,98.1601732,169750,12.67183798,7.004285304,rural
25224,Oct-15,0,104,42,26.0900973,110.0459581,FORTH VALLEY,272.691,701.422,N,99.6815287,205000,12.72402435,7.174817902,rural
25243,Oct-15,0,180,57,68.40617505,288.5318129,FORTH VALLEY,277.832,701.205,N,97.9919679,210000,12.51212114,6.865372976,smalltown
25262,Oct-15,0,286,59,49.885176,210.41171,FORTH VALLEY,289.342,680.561,N,97.044335,52875,13.79691437,7.771671057,urban
